Area,No couples,Couples accepted,Grand Total
london,311,156,467
birmingham,677,162,839
bournemouth,19,5,24
brighton,640,106,746
bristol,362,58,420
central_london,223,62,285
east_london,516,291,807
exeter,28,6,34
leeds,542,100,642
leicester,2,6,8
liverpool,13,2,15
manchester,710,164,874
newcastle_upon_tyne,474,119,593
north_london,366,154,520
north_west_london,536,249,785
norwich,30,4,34
nottingham,449,94,543
oxford,37,2,39
plymouth,104,40,144
reading,14,5,19
sheffield,445,111,556
south_east_london,628,240,868
south_west_london,665,184,849
southampton,493,53,546
stoke-on-trent,76,29,105
west_london,848,196,1044
