Area,No pets,Yes pets,Grand Total
west_london,991,53,1044
manchester,830,44,874
south_east_london,841,27,868
south_west_london,816,33,849
birmingham,790,49,839
east_london,794,13,807
north_west_london,763,22,785
brighton,692,54,746
leeds,602,40,642
newcastle_upon_tyne,538,55,593
sheffield,512,44,556
southampton,519,27,546
nottingham,515,28,543
north_london,508,12,520
london,464,3,467
bristol,400,20,420
central_london,284,1,285
plymouth,135,9,144
stoke-on-trent,98,7,105
oxford,38,1,39
exeter,32,2,34
norwich,33,1,34
bournemouth,24,,24
reading,19,,19
liverpool,14,1,15
leicester,8,,8
